timestamp,source_ip,source_port,destination_ip,destination_port,l4_proto,l2_proto,l7_proto
1716824064.742106,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60091,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60091,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60091,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60091,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60094,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60090,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60094,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60093,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60094,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60093,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60093,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60091,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60092,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60090,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60092,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60092,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60092,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60092,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60093,TCP,2048,nil
1716824064.742414,104.18.41.158,443,192.168.1.66,60094,TCP,2048,nil
